Filter,Date,Description,Sub-description,Status,Type of Transaction,Amount
All available transactions,2025-01-03,MENYA KYU KITCHEN 26,River City 66 ON,Posted,Debit,103.18
,2025-01-05,JAMES STREET MARKET 04,River City 66 ON,Posted,Debit,5.45
,2025-01-06,UBER EATS DELIVERY 01,Metro City 55 ON,Posted,Debit,2.54
,2025-01-06,JAMES STREET MARKET 02,River City 66 ON,Posted,Debit,11.44
,2025-01-06,UBER EATS DELIVERY 01,Metro City 55 ON,Posted,Debit,52.97
,2025-01-07,UBER EATS DELIVERY 02,Metro City 79 ON,Posted,Debit,25.43
,2025-01-07,OPENAI SUBSCRIPTION 02,Crown City 26 ON,Posted,Debit,29.46
,2025-01-07,MENYA KYU KITCHEN 37,River City 66 ON,Posted,Debit,36.97
,2025-01-08,LCBO BOTTLE SHOP 01,River City 66 ON,Posted,Debit,2.64
,2025-01-08,LCBO BOTTLE SHOP 01,River City 66 ON,Posted,Debit,18.39
,2025-01-11,BIG SCOOPS DESSERT 09,River City 66 ON,Posted,Debit,14.21
,2025-01-11,MENYA KYU KITCHEN 14,River City 66 ON,Posted,Debit,39.67
,2025-01-12,JAMES STREET MARKET 04,Harbor City 88 ON,Posted,Debit,21.01
,2025-01-13,UBER EATS DELIVERY 01,Metro City 55 ON,Posted,Debit,56.95
,2025-01-13,SCOTIA CREDIT CARD PROTECT 03,,Posted,Debit,9.34
,2025-01-14,UBER EATS DELIVERY 01,Metro City 55 ON,Posted,Debit,3.76
,2025-01-14,AMAZON.CA MARKETPLACE 25,Harbor City 46 AB,Posted,Debit,10.53
,2025-01-14,UBER EATS DELIVERY 01,Metro City 55 ON,Posted,Debit,40.58
,2025-01-15,UBER EATS DELIVERY 01,Metro City 55 ON,Posted,Debit,11.90
,2025-01-15,UBER EATS DELIVERY 01,Metro City 55 ON,Posted,Debit,21.15
,2025-01-15,ROGERS WIRELESS 01,Cedar City 32 QC,Posted,Debit,96.82
,2025-01-16,GOOGLE ONE STORAGE 01,Cedar City 86 ON,Posted,Debit,2.96
,2025-01-16,MENYA KYU KITCHEN 17,River City 66 ON,Posted,Debit,35.31
,2025-01-17,UBER EATS DELIVERY 02,Metro City 79 ON,Posted,Debit,26.52
,2025-01-17,UBER EATS DELIVERY 01,Metro City 55 ON,Posted,Debit,28.16
,2025-01-18,TICKETMASTER EVENTS 03,Maple City 53 BC,Posted,Debit,1.06
,2025-01-18,LOCAL MERCHANT 01,River City 66 ON,Posted,Debit,18.20
,2025-01-19,PETRO-CANADA FUEL 01,River City 66 ON,Posted,Debit,22.10
,2025-01-19,MENYA KYU KITCHEN 34,River City 66 ON,Posted,Debit,30.53
,2025-01-20,MENYA KYU KITCHEN 28,River City 66 ON,Posted,Debit,83.53
,2025-01-20,SPOTIFY SUBSCRIPTION 02,River City 72 ON,Posted,Debit,13.17
,2025-01-20,UBER EATS DELIVERY 01,Metro City 55 ON,Posted,Debit,29.38
,2025-01-20,COMMUNAUTO SHARE 03,River City 66 ON,Posted,Debit,324.53
,2025-01-21,UBER EATS DELIVERY 01,Metro City 55 ON,Posted,Debit,38.04
,2025-01-22,PAYMENT FROM CHEQUING 01,,Posted,Credit,-1279.46
,2025-01-22,JAMES STREET MARKET 04,Harbor City 88 ON,Posted,Debit,10.90
,2025-01-22,UBER EATS DELIVERY 01,Metro City 55 ON,Posted,Debit,43.65
,2025-01-24,MENYA KYU KITCHEN 17,River City 66 ON,Posted,Debit,28.52
,2025-01-24,UBER EATS DELIVERY 01,Metro City 55 ON,Posted,Debit,26.64
,2025-01-24,TIM HORTONS CAFE 06,River City 66 ON,Posted,Debit,6.35
,2025-01-25,TIM HORTONS CAFE 06,River City 66 ON,Posted,Debit,3.68
,2025-01-25,JAMES STREET MARKET 04,Harbor City 88 ON,Posted,Debit,9.57
,2025-01-26,PETRO-CANADA FUEL 04,Metro City 55 ON,Posted,Debit,26.88
,2025-01-27,PETRO-CANADA FUEL 01,River City 66 ON,Posted,Debit,5.53
,2025-01-27,PETRO-CANADA FUEL 01,River City 66 ON,Posted,Debit,11.05
,2025-01-27,TIM HORTONS CAFE 09,Metro City 55 ON,Posted,Debit,6.15
,2025-01-27,UBER EATS DELIVERY 01,Metro City 55 ON,Posted,Debit,45.71
